File Name	Gene Name	Counts
SP53XR30.anno	CR43242	14
SP53XR30.anno	scro	12
SP53XR30.anno	CG14621	11
SP53XR30.anno	CG40228	11
SP53XR30.anno	RYa	11
Kc167_P53_NT60_A.anno	jing	3
Kc167_P53_NT60_A.anno	CG17514	2
Kc167_P53_NT60_A.anno	CR45139	2
Kc167_P53_NT60_A.anno	CR45251	2
Kc167_P53_NT60_A.anno	Tlk	2
SP53NT30.anno	CG14621	14
SP53NT30.anno	CR43242	13
SP53NT30.anno	CG40228	11
SP53NT30.anno	kl-2	11
SP53NT30.anno	scro	11
SP53NT60_B.anno	CG32230	10
SP53NT60_B.anno	Ucrh	9
SP53NT60_B.anno	scro	9
SP53NT60_B.anno	Dbp80	8
SP53NT60_B.anno	AstA-R1	7
SP53XR30Ctr.anno	CG40228	6
SP53XR30Ctr.anno	CR43242	5
SP53XR30Ctr.anno	scro	3
SP53XR30Ctr.anno	5.8SrRNA:CR40454	2
SP53XR30Ctr.anno	CG32698	2
SP53XR60_A.anno	CG17684	38
SP53XR60_A.anno	CG40467	33
SP53XR60_A.anno	CG40228	27
SP53XR60_A.anno	CG41242	24
SP53XR60_A.anno	CG41343	23
R_P53_XR60_M14.anno	Dp	3
R_P53_XR60_M14.anno	Corp	2
R_P53_XR60_M14.anno	p53	2
R_P53_XR60_M14.anno	Akap200	1
R_P53_XR60_M14.anno	CG14621	1
Younger_Human_ChIP.anno	AUTS2	5
Younger_Human_ChIP.anno	CDC42EP3	5
Younger_Human_ChIP.anno	PRR26	5
Younger_Human_ChIP.anno	BMPER	4
Younger_Human_ChIP.anno	CDH8	4
Kc167_P53_XR60_A.anno	Tlk	2
Kc167_P53_XR60_A.anno	aos	2
Kc167_P53_XR60_A.anno	ctrip	2
Kc167_P53_XR60_A.anno	jing	2
Kc167_P53_XR60_A.anno	AGO3	1
SP53XR60Ctr.anno	CR43242	14
SP53XR60Ctr.anno	CG40228	12
SP53XR60Ctr.anno	scro	5
SP53XR60Ctr.anno	CR45139	3
SP53XR60Ctr.anno	5.8SrRNA:CR40454	2
SP53XR60_B.anno	CG17684	9
SP53XR60_B.anno	CG40228	5
SP53XR60_B.anno	CG32230	3
SP53XR60_B.anno	CR45182	3
SP53XR60_B.anno	Pld	3
SP53NT60_A.anno	Asator	1
SP53NT60_A.anno	CG12115	1
SP53NT60_A.anno	CG14448	1
SP53NT60_A.anno	CG14837	1
SP53NT60_A.anno	CG15115	1
Botcheve_IMR90.anno	CDKN1A	3
Botcheve_IMR90.anno	GDF15	3
Botcheve_IMR90.anno	IRF2BPL	3
Botcheve_IMR90.anno	KLLN	3
Botcheve_IMR90.anno	SUGCT	3
Akdemir_p53_Untr.anno	LPHN3	6
Akdemir_p53_Untr.anno	CDH8	5
Akdemir_p53_Untr.anno	LOC389906	5
Akdemir_p53_Untr.anno	WBSCR17	5
Akdemir_p53_Untr.anno	AC011899.9	4
R_P53NT60_A.anno	CG14621	4
R_P53NT60_A.anno	CR40677	3
R_P53NT60_A.anno	CR44043	3
R_P53NT60_A.anno	br	3
R_P53NT60_A.anno	mRpS5	3
R_G085_P53_XR60.anno	Cadps	2
R_G085_P53_XR60.anno	CG14427	1
R_G085_P53_XR60.anno	CG17684	1
R_P53_NT60_M14.anno	p53	2
R_P53_NT60_M14.anno	Akap200	1
R_P53_NT60_M14.anno	CG14621	1
R_P53_NT60_M14.anno	CG32795	1
R_P53_NT60_M14.anno	CG41242	1
R_P53XR60_A.anno	CR44043	5
R_P53XR60_A.anno	CG40467	4
R_P53XR60_A.anno	CR40677	4
R_P53XR60_A.anno	Dp	4
R_P53XR60_A.anno	CG1958	3
SP53NT60Ctr.anno	CG40228	10
SP53NT60Ctr.anno	CR43242	9
SP53NT60Ctr.anno	CG17684	6
SP53NT60Ctr.anno	scro	5
SP53NT60Ctr.anno	CG40191	4
Kc167_P53_XR60_B.anno	CG14621	4
Kc167_P53_XR60_B.anno	CG40228	4
Kc167_P53_XR60_B.anno	CR43242	4
Kc167_P53_XR60_B.anno	snoRNA:Psi28S-2996	3
Kc167_P53_XR60_B.anno	uex	3
S_P53XR120.anno	CG17684	15
S_P53XR120.anno	CG14621	13
S_P53XR120.anno	CG40228	13
S_P53XR120.anno	CR43242	9
S_P53XR120.anno	scro	9
R_G085_P53_NT60.anno	Cadps	2
R_G085_P53_NT60.anno	CG14621	1
R_G085_P53_NT60.anno	CR43941	1
R_G085_P53_NT60.anno	CR45139	1
R_G085_P53_NT60.anno	uex	1
Akdemir_p53_DOX.anno	HTR2C	6
Akdemir_p53_DOX.anno	LPHN2	6
Akdemir_p53_DOX.anno	UTRN	6
Akdemir_p53_DOX.anno	C8orf22	5
Akdemir_p53_DOX.anno	CDH8	5
SP53NT30Ctr.anno	CR43242	17
SP53NT30Ctr.anno	CG40228	11
SP53NT30Ctr.anno	CG40191	4
SP53NT30Ctr.anno	scro	4
SP53NT30Ctr.anno	CG14464	3
S_P53NT60AB.anno	CG40228	26
S_P53NT60AB.anno	CG17684	21
S_P53NT60AB.anno	CR43242	15
S_P53NT60AB.anno	CG42598	14
S_P53NT60AB.anno	CR44043	14
S_P53NT120.anno	CG17684	17
S_P53NT120.anno	CR43242	12
S_P53NT120.anno	CR44043	11
S_P53NT120.anno	kl-2	11
S_P53NT120.anno	scro	11
